method,initial_length,final_length,best_length,relative_improvement,num_steps,runtime_sec,instance_id,num_nodes,distribution,count_stop,count_two_opt,count_swap,count_relocate,count_perturb_two_opt,total_reward
nearest_neighbor,6.367614012904135,6.367614012904135,6.367614012904135,0.0,0,0.00016562803648412228,1,50,uniform,,,,,,
nearest_neighbor_two_opt,6.367614012904135,5.847608338192038,5.847608338192038,0.08166413253980095,9,0.014991779811680317,1,50,uniform,,,,,,
random_operator,6.367614012904135,6.333100122416084,6.333100122416084,0.005420223402063563,38,0.052125036949291825,1,50,uniform,1.0,10.0,7.0,7.0,13.0,
fixed_schedule,6.367614012904135,5.8965480524792415,5.8965480524792415,0.07397841004028609,16,0.02683852589689195,1,50,uniform,0.0,6.0,5.0,5.0,0.0,
nearest_neighbor,6.419015119005253,6.419015119005253,6.419015119005253,0.0,0,0.00015517999418079853,2,50,uniform,,,,,,
nearest_neighbor_two_opt,6.419015119005253,6.130691758056012,6.130691758056012,0.04491707148275443,9,0.014938822947442532,2,50,uniform,,,,,,
random_operator,6.419015119005253,6.146378682524589,6.146378682524589,0.04247325040152167,13,0.018157751066610217,2,50,uniform,1.0,3.0,4.0,2.0,3.0,
fixed_schedule,6.419015119005253,6.07060153196659,6.07060153196659,0.05427835588158828,21,0.03711860696785152,2,50,uniform,0.0,7.0,7.0,7.0,0.0,
nearest_neighbor,6.742059974447586,6.742059974447586,6.742059974447586,0.0,0,0.00014086603187024593,3,50,uniform,,,,,,
nearest_neighbor_two_opt,6.742059974447586,6.140533124991928,6.140533124991928,0.08922003834665443,7,0.011187594151124358,3,50,uniform,,,,,,
random_operator,6.742059974447586,6.742059974447586,6.742059974447586,0.0,36,0.052358068991452456,3,50,uniform,1.0,8.0,7.0,13.0,7.0,
fixed_schedule,6.742059974447586,6.236524887584983,6.236524887584983,0.07498228861484203,13,0.02190886903554201,3,50,uniform,0.0,5.0,4.0,4.0,0.0,
nearest_neighbor,6.650139899757459,6.650139899757459,6.650139899757459,0.0,0,0.00013419589959084988,4,50,uniform,,,,,,
nearest_neighbor_two_opt,6.650139899757459,6.220995951096819,6.220995951096819,0.06453156702406986,7,0.011266760993748903,4,50,uniform,,,,,,
random_operator,6.650139899757459,6.141004412610027,6.141004412610027,0.07656011675273196,29,0.04208032204769552,4,50,uniform,1.0,4.0,6.0,10.0,8.0,
fixed_schedule,6.650139899757459,6.084593958783634,6.084593958783634,0.08504271331110667,18,0.029224404133856297,4,50,uniform,0.0,6.0,6.0,6.0,0.0,
nearest_neighbor,6.360241338546945,6.360241338546945,6.360241338546945,0.0,0,0.00014435010962188244,5,50,uniform,,,,,,
nearest_neighbor_two_opt,6.360241338546945,6.022139041423496,6.022139041423496,0.05315872136397454,5,0.008423729799687862,5,50,uniform,,,,,,
random_operator,6.360241338546945,6.338541413190904,6.338541413190904,0.0034118084835125183,2,0.0018152978736907244,5,50,uniform,1.0,1.0,0.0,0.0,0.0,
fixed_schedule,6.360241338546945,5.7354994738355884,5.7354994738355884,0.09822612562278728,27,0.04514336190186441,5,50,uniform,0.0,9.0,9.0,9.0,0.0,
nearest_neighbor,6.816703090377767,6.816703090377767,6.816703090377767,0.0,0,0.0001692250370979309,6,50,uniform,,,,,,
nearest_neighbor_two_opt,6.816703090377767,6.64178969406647,6.64178969406647,0.025659529833153324,3,0.005388484802097082,6,50,uniform,,,,,,
random_operator,6.816703090377767,6.185734042580897,6.185734042580897,0.09256220190777048,41,0.06931372708640993,6,50,uniform,1.0,11.0,10.0,16.0,3.0,
fixed_schedule,6.816703090377767,6.183869503049766,6.183869503049766,0.09283572702781907,15,0.026586791034787893,6,50,uniform,0.0,5.0,5.0,5.0,0.0,
nearest_neighbor,6.914868469247258,6.914868469247258,6.914868469247258,0.0,0,0.00014829705469310284,7,50,uniform,,,,,,
nearest_neighbor_two_opt,6.914868469247258,6.4953104586689845,6.4953104586689845,0.06067476372749374,5,0.008796751964837313,7,50,uniform,,,,,,
