method,initial_length,final_length,best_length,relative_improvement,num_steps,runtime_sec,instance_id,num_nodes,distribution,count_stop,count_two_opt,count_swap,count_relocate,count_perturb_two_opt,total_reward,eval_distribution,eval_num_nodes
nearest_neighbor,8.06342104973735,8.06342104973735,8.06342104973735,0.0,0,0.00018986081704497337,1,50,uniform,,,,,,,uniform,50
nearest_neighbor_two_opt,8.06342104973735,6.930983775044606,6.930983775044606,0.14044129256150295,17,0.027900439919903874,1,50,uniform,,,,,,,uniform,50
random_operator,8.06342104973735,8.06342104973735,8.06342104973735,0.0,2,0.0011279520113021135,1,50,uniform,1.0,0.0,0.0,0.0,1.0,,uniform,50
fixed_schedule,8.06342104973735,6.800328894544273,6.800328894544273,0.15664469800125594,19,0.03382447990588844,1,50,uniform,0.0,7.0,6.0,6.0,0.0,,uniform,50
nearest_neighbor,7.614194742884532,7.614194742884532,7.614194742884532,0.0,0,0.00015449314378201962,2,50,uniform,,,,,,,uniform,50
nearest_neighbor_two_opt,7.614194742884532,5.687991078008292,5.687991078008292,0.2529753611406221,18,0.028304864885285497,2,50,uniform,,,,,,,uniform,50
random_operator,7.614194742884532,6.067179166060683,6.067179166060683,0.20317520487239124,22,0.03155557787977159,2,50,uniform,1.0,7.0,6.0,5.0,3.0,,uniform,50
fixed_schedule,7.614194742884532,5.749923293797374,5.749923293797374,0.24484157708591844,25,0.04065370885655284,2,50,uniform,0.0,9.0,8.0,8.0,0.0,,uniform,50
nearest_neighbor,6.649233845441347,6.649233845441347,6.649233845441347,0.0,0,0.00014074798673391342,3,50,uniform,,,,,,,uniform,50
nearest_neighbor_two_opt,6.649233845441347,6.102369403722948,6.102369403722948,0.08224472990874342,9,0.014157773926854134,3,50,uniform,,,,,,,uniform,50
random_operator,6.649233845441347,6.649233845441347,6.649233845441347,0.0,16,0.02005373896099627,3,50,uniform,1.0,5.0,4.0,1.0,5.0,,uniform,50
fixed_schedule,6.649233845441347,5.667340532207017,5.667340532207017,0.14767014306580697,22,0.03531738091260195,3,50,uniform,0.0,8.0,7.0,7.0,0.0,,uniform,50
nearest_neighbor,7.505870515044844,7.505870515044844,7.505870515044844,0.0,0,0.00013483990915119648,4,50,uniform,,,,,,,uniform,50
nearest_neighbor_two_opt,7.505870515044844,6.394777390723825,6.394777390723825,0.1480298816897963,6,0.009623948018997908,4,50,uniform,,,,,,,uniform,50
random_operator,7.505870515044844,6.990765466388643,6.990765466388643,0.06862695641014845,24,0.031586277997121215,4,50,uniform,1.0,5.0,9.0,3.0,6.0,,uniform,50
fixed_schedule,7.505870515044844,6.414359471307264,6.414359471307264,0.14542097969179515,15,0.023935931967571378,4,50,uniform,0.0,5.0,5.0,5.0,0.0,,uniform,50
nearest_neighbor,7.483040701468371,7.483040701468371,7.483040701468371,0.0,0,0.00015603099018335342,5,50,uniform,,,,,,,uniform,50
nearest_neighbor_two_opt,7.483040701468371,6.898450671922187,6.898450671922187,0.07812198982580336,7,0.011865367880091071,5,50,uniform,,,,,,,uniform,50
