#{"t_start": 1779068000.972277, "env_id": "None"}
r,l,t
-0.01,1,0.620439
-0.330761,6,0.648762
0.083287,3,0.663439
-0.243635,8,0.700101
-0.364143,5,0.724684
-0.557509,10,0.770483
-0.219225,3,0.784238
-0.596379,5,0.80613
0.026678,4,0.826515
-0.640662,7,0.859492
0.007341,4,0.879489
0.034058,2,0.890171
-0.5702,11,0.943595
0.175981,3,0.958761
0.004089,2,0.968893
-0.619498,9,1.009594
-0.607511,4,1.029962
-0.715709,13,1.090184
-0.434644,2,1.099523
-0.577587,2,1.108709
0.064951,13,1.17274
-0.01,1,1.178374
0.066135,2,1.188479
-0.412485,7,1.219604
-0.004157,6,1.250338
0.176601,5,1.273995
-0.714975,9,1.311844
-0.20626,3,1.32517
-0.606352,7,1.358493
-0.601811,11,1.406274
0.014908,2,1.416073
-0.01,1,1.421413
-0.01,1,1.428035
0.044054,6,1.457086
-0.521802,4,1.474269
0.054458,5,1.496945
-0.354109,9,1.538763
0.045058,2,1.548937
-0.149672,19,1.633733
-0.01,1,1.639133
-0.19055,3,1.653794
-0.343306,9,1.694219
-0.379221,3,1.707679
0.088909,8,1.745316
-0.016,2,1.756636
0.01012,3,1.772029
0.0135,4,1.790736
-0.01,1,1.796208
0.003844,2,1.807365
0.067019,3,1.821654
0.038715,2,1.831552
-0.01,1,1.836932
0.079296,3,1.852391
-0.47855,10,1.89781
-0.01,1,1.903544
-0.428157,6,1.929925
-0.01,1,1.936669
-0.479229,7,1.96857
-0.662087,13,2.024991
-0.509638,3,2.038368
-0.459437,3,2.053231
0.033951,4,2.072993
0.117576,3,2.087954
-0.566532,9,2.128386
-0.3882,6,2.15555
-0.01,1,2.161044
-1.140386,20,2.244669
-0.01,1,2.2501
0.016878,2,2.261134
-0.395023,5,2.283828
-0.46207,2,2.293152
-1.021896,6,2.318183
0.069786,4,2.338179
-0.348905,7,2.369289
-0.01939,5,2.394053
-0.590659,4,2.41152
-0.01,1,2.41844
-0.01,1,2.424016
-0.707305,3,2.437069
