#{"t_start": 1779103820.1393487, "env_id": "None"}
r,l,t
-0.02,1,0.630579
0.291618,6,0.882778
-0.078375,3,0.895937
0.254986,8,1.140416
0.182581,15,1.444185
0.428145,3,1.579127
-0.010252,9,1.821604
0.149715,11,2.104695
-0.067004,13,2.387753
0.229557,5,2.578085
0.141884,13,2.773341
-0.328376,13,2.963542
0.164074,4,3.06655
0.182818,13,3.327706
-0.02,1,3.33315
0.089038,2,3.342651
0.403584,7,3.552381
-0.021877,6,3.713451
0.157512,5,3.819673
0.353559,9,4.042887
0.464679,3,4.245936
0.186383,7,4.443916
0.222367,13,4.687305
-0.02,1,4.692589
-0.02,1,4.699342
0.236611,24,5.257119
0.015315,2,5.267092
0.142728,19,5.674913
-0.02,1,5.681659
0.145,3,5.813348
0.389216,12,6.096832
-0.013537,8,6.241209
-0.139211,2,6.251362
-0.321014,3,6.263645
0.362043,4,6.416225
0.012635,8,6.450114
-0.035363,14,6.720937
0.451685,7,6.985075
-0.02,1,6.990317
0.126159,20,7.35341
0.338026,3,7.44414
0.37596,3,7.594064
0.064145,4,7.614112
-0.359253,3,7.626391
0.4956,9,7.910179
0.064274,6,8.218035
-0.02,1,8.223669
0.00616,23,8.743132
0.30837,7,9.008965
0.048381,6,9.173392
0.007235,4,9.19221
0.197898,7,9.365706
0.449669,5,9.510215
0.384176,4,9.709337
-0.02,1,9.714784
-0.02,1,9.720101
0.121273,10,10.001401
0.124467,13,10.292847
0.037799,4,10.311917
-0.02,1,10.317671
0.208193,3,10.498386
0.210965,11,10.851501
0.078361,2,10.925701
0.414509,3,11.046266
0.003294,2,11.058047
0.343962,3,11.194205
0.091141,4,11.292786
0.220927,11,11.546587
0.157579,6,11.676283
0.134775,2,11.752591
0.580884,3,11.951251
-0.074542,13,12.209583
-0.137893,2,12.219985
0.037174,17,12.496019
0.177067,4,12.626141
0.087366,15,13.038959
0.408451,2,13.189167
-0.018933,20,13.583216
-0.004884,2,13.593201
-0.138259,2,13.602212
0.43087,4,13.750474
0.262039,16,14.116066
0.215697,12,14.353158
-0.02,1,14.359404
0.287093,5,14.522663
-0.02,1,14.528048
0.398349,2,14.612752
-0.02,1,14.618066
-0.024714,4,14.723014
0.183382,16,15.093011
-0.146261,15,15.381682
-0.02,1,15.387007
-0.092975,30,15.880109
0.226038,9,16.064368
0.093295,4,16.111882
0.144107,7,16.34558
-0.097427,4,16.480965
-0.138616,4,16.665682
0.53999,4,16.886247
-0.059881,13,17.337633
0.07257,4,17.451428
-0.02,1,17.456734
0.031932,5,17.478177
-0.028,2,17.4878
0.093647,14,17.774914
0.411624,3,17.945257
0.210283,2,18.079857
0.407629,2,18.203659
-0.155239,25,18.657553
0.116879,6,18.844513
0.0694,10,19.117552
