#{"t_start": 1779067148.4971375, "env_id": "None"}
r,l,t
-0.01,1,0.620253
-0.330099,6,0.646616
0.081314,3,0.660329
-0.215635,8,0.694148
-0.348143,5,0.71691
-0.521509,10,0.761754
-0.213569,3,0.774874
-0.580379,5,0.79544
0.030317,4,0.814938
-0.616662,7,0.845967
0.012258,4,0.863811
0.033554,2,0.873196
-0.547664,11,0.921162
0.167875,3,0.935252
0.00561,2,0.945866
-0.595423,9,0.983996
-0.595511,4,1.003141
-0.671355,13,1.058908
-0.430644,2,1.067664
-0.573587,2,1.076357
0.090165,13,1.1338
-0.01,1,1.139244
0.063464,2,1.148916
-0.398972,7,1.180813
0.010553,6,1.208723
0.172384,5,1.231063
-0.691313,9,1.268121
-0.202958,3,1.282575
-0.582352,7,1.312776
-0.566378,11,1.358052
0.015698,2,1.367582
-0.01,1,1.372802
-0.01,1,1.381072
0.052033,6,1.407898
-0.509802,4,1.424154
0.059902,5,1.446025
-0.343996,9,1.488599
0.043811,2,1.49851
-0.090206,19,1.577276
-0.01,1,1.582583
-0.18677,3,1.598028
-0.328933,9,1.636651
-0.375767,3,1.650044
0.099577,8,1.685889
-0.012,2,1.69796
0.01484,3,1.712424
0.01981,4,1.730616
-0.01,1,1.735864
0.005382,2,1.746644
0.066149,3,1.76036
0.037897,2,1.769924
-0.01,1,1.775162
0.077604,3,1.790096
-0.448659,10,1.831886
-0.01,1,1.837243
-0.408157,6,1.863639
-0.01,1,1.870715
-0.466382,7,1.902996
-0.616135,13,1.958081
-0.50703,3,1.971597
-0.451437,3,1.986617
0.037111,4,2.006071
0.113346,3,2.020561
-0.55465,9,2.059752
-0.370887,6,2.08612
-0.01,1,2.091438
-1.075562,20,2.174366
-0.01,1,2.17982
0.017535,2,2.191177
-0.389692,5,2.213801
-0.45807,2,2.222977
-1.004641,6,2.247867
0.070589,4,2.268003
-0.340629,7,2.298886
-0.005496,5,2.323502
-0.578659,4,2.34164
-0.01,1,2.34882
-0.01,1,2.354522
-0.699305,3,2.367298
0.001433,2,2.37763
-0.537953,5,2.401142
-0.01,1,2.4065
-0.337122,10,2.450413
-0.504025,2,2.459533
-0.01,1,2.466397
0.246094,3,2.480301
-0.01,1,2.485585
-0.16724,3,2.498623
-0.54521,8,2.536305
-0.537851,3,2.549129
0.003142,2,2.559284
-0.328843,3,2.572861
0.029407,2,2.584073
-0.266114,3,2.597486
-0.139131,4,2.614715
-0.811183,11,2.660889
0.01084,3,2.67598
-0.249653,3,2.689081
0.171909,2,2.698833
0.005068,3,2.712606
-0.290718,2,2.722901
0.001888,2,2.733784
-0.427139,9,2.77306
0.212238,2,2.782918
-0.698555,17,2.855773
-0.353472,4,2.872708
-0.849893,15,2.934678
-0.318171,2,2.943384
0.06726,4,2.962497
-0.01,1,2.96782
-0.688971,5,2.98826
-0.638576,4,3.004615
-0.01,1,3.011279
0.041035,3,3.024962
0.007851,2,3.03546
0.001892,2,3.044922
0.031647,2,3.056056
-0.01,1,3.061428
-0.01,1,3.066715
-0.295175,2,3.075404
-0.95609,16,3.142191
0.051069,2,3.152199
-0.730951,10,3.19509
-0.01,1,3.20033
-0.876536,5,3.222315
-0.01,1,3.227662
-0.333923,2,3.236753
-0.01,1,3.242873
-0.305,4,3.261624
-0.925377,16,3.326381
-0.466403,15,3.390191
-0.01,1,3.395529
-0.000246,3,3.411529
0.307769,12,3.463755
-0.92293,24,3.562765
0.050045,2,3.572726
0.072211,2,3.583794
-0.607068,7,3.612797
-0.377692,4,3.630175
0.027959,4,3.648435
-0.273872,4,3.667895
-0.47588,3,3.680103
-0.958449,10,3.719983
0.03853,4,3.73789
-0.01,1,3.744659
0.023054,3,3.758539
-0.01,1,3.764728
-0.01,1,3.770093
0.020574,2,3.780892
-0.153112,14,3.83936
-0.677766,3,3.851501
0.035419,2,3.861021
-0.012,2,3.872844
-0.351916,22,3.964418
-0.314625,2,3.974199
-0.01,1,3.979525
-0.126239,6,4.00624
0.011474,2,4.015873
-0.494203,8,4.048875
-0.46396,4,4.066224
-0.487904,5,4.089104
-0.406925,5,4.109667
-0.01,1,4.114886
0.024035,3,4.128305
0.012454,3,4.143329
-0.01,1,4.148687
-0.692052,10,4.191724
-0.025305,7,4.221253
-0.366301,3,4.235454
-0.434497,6,4.260329
-0.01,1,4.265597
-0.465213,3,4.279688
-0.000995,2,4.29055
0.022437,3,4.304605
-0.512388,4,4.321615
0.156109,4,4.339252
-0.734517,4,4.357149
-0.01,1,4.362484
-0.685325,5,4.38418
-0.01,1,4.389527
-0.01,1,4.396251
-0.01,1,4.401524
-0.01,1,4.406862
-0.899323,10,4.446147
-0.794705,5,4.467378
-0.721491,7,4.496922
0.067976,3,4.510451
-0.01,1,4.515697
0.305691,7,4.547259
-0.632942,3,4.560064
-0.414095,3,4.573142
-0.01,1,4.578425
-0.01,1,4.585961
0.013402,2,4.595578
-0.248321,7,4.625532
-0.01,1,4.630983
0.141523,2,4.642444
-0.01,1,4.648003
-0.36779,6,4.674111
0.001245,2,4.683607
0.015911,2,4.695542
-0.448068,12,4.747758
-0.449404,13,4.805941
-0.01,1,4.811484
-0.369336,7,4.843245
-0.01,1,4.848546
-0.320276,2,4.857232
-0.500789,3,4.870152
-0.220407,10,4.915177
-0.739623,9,4.951579
0.118527,5,4.973164
0.043002,2,4.982674
0.02816,16,5.053256
-0.633135,12,5.255619
-0.474187,14,5.319011
-0.01,1,5.324572
-0.01,1,5.332984
-0.01,1,5.338337
-0.958751,4,5.355404
-0.01,1,5.360721
0.069422,6,5.396312
0.038196,3,5.411383
-0.438557,3,5.425766
-0.276051,10,5.471829
0.28236,5,5.497177
-0.315663,5,5.520716
-0.151311,8,5.558068
-0.471972,7,5.590888
0.061852,6,5.62124
0.008468,2,5.632203
-0.961434,14,5.691577
-0.253083,6,5.721074
-0.36848,3,5.736977
-0.399566,5,5.759379
0.029228,2,5.768943
-0.479792,4,5.786755
0.053637,3,5.803737
0.028659,2,5.815836
-0.35373,7,5.847907
-0.01,1,5.854572
-0.390203,14,5.91893
-0.606625,22,6.017797
-0.442564,10,6.061725
-0.01,1,6.067108
-0.331468,8,6.104711
-0.01,1,6.111109
0.049323,3,6.125899
0.045437,2,6.136847
-0.047161,7,6.171144
0.032696,4,6.190393
0.041444,3,6.204391
-0.763239,22,6.302625
-0.01,1,6.309428
-0.692011,11,6.361
-0.284141,2,6.369784
-0.362081,8,6.405838
-0.01,1,6.413991
0.033143,2,6.423728
-0.790006,14,6.487277
0.007389,3,6.501194
-0.605473,11,6.552677
-0.01,1,6.557992
-0.314375,4,6.576571
0.049436,2,6.587448
0.070311,8,6.626486
-0.222048,7,6.660283
-0.483339,4,6.679743
-0.169616,6,6.707022
-0.271139,8,6.748005
-0.510323,23,6.858438
-0.884157,5,6.88145
0.018896,2,6.892895
-0.494887,14,6.960349
-0.01,1,6.966141
0.001366,2,6.977969
-0.388994,6,7.005646
-0.18181,8,7.045129
-0.01,1,7.053016
0.066281,2,7.063196
-0.01,1,7.068702
0.054918,4,7.089578
-0.560652,37,7.256321
-0.465662,6,7.283027
-0.01,1,7.288298
-0.490448,3,7.303967
0.065791,2,7.315102
-0.50381,22,7.418314
-0.01,1,7.424551
0.020044,3,7.442424
-0.597178,11,7.498176
-0.01,1,7.503923
-0.504659,5,7.527647
0.067775,2,7.540706
-0.01,1,7.546492
0.027422,3,7.563858
-0.120049,7,7.598517
-0.01,1,7.605689
-0.566483,2,7.615125
0.110688,5,7.64142
-0.306713,14,7.70558
-0.01,1,7.712219
0.026434,2,7.723033
-0.30214,3,7.737018
-0.01,1,7.74225
-0.01,1,7.748855
0.007011,4,7.769386
-0.715955,29,7.898827
-0.334415,6,7.927185
-0.01,1,7.933736
0.043197,2,7.944892
-0.012,2,7.954396
-0.01,1,7.959735
-0.422801,2,7.972446
-0.01,1,7.977884
-0.302516,2,7.988133
-0.3367,2,7.997292
-0.01,1,8.004133
-0.01,1,8.011002
0.057685,5,8.035002
-0.159176,9,8.077408
-0.312834,6,8.107938
-0.876072,15,8.17156
-0.325745,4,8.191903
0.067807,4,8.211123
-0.243792,9,8.25387
-0.286946,2,8.262486
0.119225,5,8.288917
0.027842,3,8.305942
-0.491889,9,8.351783
-0.395587,2,8.362567
0.118409,3,8.378321
0.032911,2,8.389817
0.049499,3,8.407455
-0.01,1,8.412841
0.02405,3,8.427924
-0.366038,3,8.442096
-0.306791,2,8.452276
-0.236311,7,8.484396
-0.150701,3,8.499565
-0.258316,4,8.517726
0.009782,2,8.528616
0.125645,3,8.543932
0.012843,3,8.558953
-0.817668,7,8.590075
-0.01,1,8.599052
-0.01,1,8.60437
-0.014,3,8.619705
-0.655303,8,8.654695
-0.260926,15,8.724289
-0.459877,5,8.747135
-0.01,1,8.75246
-0.312592,8,8.790181
-0.004865,6,8.821206
0.035139,5,8.846675
-0.300604,5,8.869571
0.011087,2,8.87915
-0.582163,21,8.975583
-0.233898,9,9.018595
-0.587858,8,9.054133
-0.01,1,9.059377
0.112592,5,9.083949
-0.522255,20,9.173604
-0.386231,6,9.201648
-0.01,1,9.206932
0.151023,6,9.239282
0.040079,2,9.24897
0.110495,4,9.268871
0.04549,2,9.279484
-0.258526,6,9.308321
-0.01,1,9.314716
-0.593551,11,9.364941
0.038561,4,9.385579
0.101879,4,9.40625
-0.01,1,9.411631
-0.01,1,9.420118
-0.012,2,9.429696
-0.539684,7,9.462878
0.090892,4,9.48226
-0.280955,9,9.5228
-0.769875,7,9.555702
0.002401,2,9.56645
-0.237713,7,9.599039
-0.420833,10,9.64648
-0.01,1,9.651683
0.06809,3,9.667656
-0.01,1,9.672818
-0.467926,13,9.729556
0.003958,2,9.74212
0.159166,3,9.757425
-0.09432,5,9.781295
-0.136896,4,9.799908
0.124841,5,9.823335
-0.317514,4,9.845219
0.121384,4,9.866179
0.014144,2,9.875845
-0.326616,4,9.894418
-0.42247,13,9.956081
-0.01,1,9.961666
-0.227346,2,9.970613
-0.532056,2,9.98065
-0.200024,17,10.060912
0.041391,2,10.071939
-0.01,1,10.077437
-0.275968,3,10.092036
-0.744179,4,10.111608
-0.01,1,10.117128
-0.398673,6,10.14411
-0.258633,5,10.169611
0.029679,2,10.180442
-0.01,1,10.185737
-0.425956,2,10.195978
-0.50471,5,10.219478
-0.283279,8,10.260282
-0.579806,3,10.274398
-0.391469,7,10.305673
-0.57585,6,10.332225
-0.281979,4,10.352777
0.03265,4,10.374017
-0.281871,17,10.451705
-0.570416,6,10.480054
0.113838,6,10.511141
-0.012,2,10.521859
0.028994,5,10.545225
-0.238216,12,10.601274
-0.272362,9,10.644995
-0.01,1,10.651934
-0.52629,5,10.67634
-0.341696,13,10.735585
-0.485746,12,10.793779
-0.421732,8,10.833865
0.245569,9,10.87785
-0.652341,2,10.888214
0.067859,3,10.905088
0.008224,5,10.929584
-0.505738,5,10.952906
-0.01,1,10.958415
-0.546441,8,10.997355
-0.01,1,11.004109
-0.456509,5,11.028102
-0.702588,24,11.137367
-0.146438,10,11.185133
-0.575603,9,11.226119
-1.289431,25,11.332605
-0.261954,8,11.369962
-0.543047,24,11.483633
0.088607,2,11.494177
0.023525,2,11.505196
0.115693,4,11.524188
-0.422524,3,11.53985
0.021528,4,11.559226
-0.01,1,11.564554
-0.390907,6,11.592527
-0.398831,4,11.613069
-0.01,1,11.619705
-0.513684,10,11.662897
-0.338774,2,11.673019
-0.220646,10,11.720272
-0.273727,5,11.742993
-0.01,1,11.749434
0.100719,10,11.794985
-0.227891,2,11.807553
-0.417828,2,11.816652
-0.012,2,11.82777
-0.01,1,11.833354
0.001521,3,11.851021
-0.387643,7,11.88373
0.092295,4,11.905075
-0.773396,23,12.015141
-0.125736,6,12.045694
-0.701979,4,12.063928
-0.012,2,12.073775
0.015719,4,12.093078
0.017678,2,12.105431
0.039609,2,12.116134
-0.01,1,12.121622
-0.172832,5,12.145631
-0.01,1,12.152335
-0.201222,6,12.179434
-0.01,1,12.185874
-0.01,1,12.19118
-0.01,1,12.197813
