method,initial_length,final_length,best_length,relative_improvement,num_steps,runtime_sec,instance,num_nodes,known_optimum,gap_to_optimum_percent,count_stop,count_two_opt,count_swap,count_relocate,count_perturb_two_opt,total_reward
nearest_neighbor,511.0,511.0,511.0,0.0,0,0.0001931560691446066,eil51,51,426,19.953051643192488,,,,,,
nearest_neighbor_two_opt,511.0,467.0,467.0,0.08610567514677103,8,0.013128942111507058,eil51,51,426,9.624413145539906,,,,,,
random_operator,511.0,486.0,486.0,0.04892367906066536,38,0.04915064782835543,eil51,51,426,14.084507042253522,1.0,10.0,7.0,7.0,13.0,
fixed_schedule,511.0,446.0,446.0,0.12720156555772993,24,0.03787681111134589,eil51,51,426,4.694835680751173,0.0,8.0,8.0,8.0,0.0,
full_two_opt,511.0,435.0,435.0,0.1487279843444227,10,0.0918541147839278,eil51,51,426,2.112676056338028,,,,,,
multistart_two_opt_10,511.0,435.0,435.0,0.1487279843444227,377,3.5232569109648466,eil51,51,426,2.112676056338028,,,,,,
dqn_efficiency,511.0,478.0,478.0,0.06457925636007827,12,0.1035693408921361,eil51,51,426,12.206572769953052,1.0,3.0,0.0,8.0,0.0,0.09739552550209049
dqn_quality,511.0,449.0,449.0,0.12133072407045009,100,0.4392678909935057,eil51,51,426,5.39906103286385,0.0,6.0,53.0,41.0,0.0,-0.05543772758142915
nearest_neighbor,8980.0,8980.0,8980.0,0.0,0,0.00017869798466563225,berlin52,52,7542,19.066560594006894,,,,,,
nearest_neighbor_two_opt,8980.0,8319.0,8319.0,0.07360801781737193,7,0.011116497917100787,berlin52,52,7542,10.30230708035004,,,,,,
random_operator,8980.0,8914.0,8914.0,0.0073496659242761695,38,0.049839121056720614,berlin52,52,7542,18.191461150888358,1.0,10.0,7.0,7.0,13.0,
fixed_schedule,8980.0,8390.0,8390.0,0.06570155902004454,13,0.020805726060643792,berlin52,52,7542,11.24370193582604,0.0,5.0,4.0,4.0,0.0,
full_two_opt,8980.0,7842.0,7842.0,0.1267260579064588,12,0.11668954486958683,berlin52,52,7542,3.977724741447892,,,,,,
multistart_two_opt_10,8980.0,7842.0,7842.0,0.1267260579064588,414,4.036163734970614,berlin52,52,7542,3.977724741447892,,,,,,
dqn_efficiency,8980.0,7749.0,7749.0,0.13708240534521157,100,0.4719461358617991,berlin52,52,7542,2.7446300715990453,0.0,21.0,0.0,79.0,0.0,-0.41208151129352333
dqn_quality,8980.0,7974.0,7974.0,0.11202672605790646,100,0.46089460817165673,berlin52,52,7542,5.727923627684964,0.0,14.0,0.0,86.0,0.0,-0.06532627550023337
nearest_neighbor,830.0,830.0,830.0,0.0,0,0.0003180340863764286,st70,70,675,22.962962962962962,,,,,,
nearest_neighbor_two_opt,830.0,830.0,830.0,0.0,1,0.001878158887848258,st70,70,675,22.962962962962962,,,,,,
random_operator,830.0,795.0,795.0,0.04216867469879518,38,0.05417287303134799,st70,70,675,17.77777777777778,1.0,10.0,7.0,7.0,13.0,
fixed_schedule,830.0,767.0,767.0,0.07590361445783132,20,0.03422121703624725,st70,70,675,13.62962962962963,0.0,7.0,7.0,6.0,0.0,
full_two_opt,830.0,738.0,738.0,0.1108433734939759,14,0.26802673004567623,st70,70,675,9.333333333333334,,,,,,
multistart_two_opt_10,830.0,694.0,694.0,0.163855421686747,637,11.675693603930995,st70,70,675,2.814814814814815,,,,,,
dqn_efficiency,830.0,757.0,757.0,0.08795180722891566,41,0.27227341500110924,st70,70,675,12.148148148148149,1.0,38.0,0.0,2.0,0.0,-0.007903850660776382
dqn_quality,830.0,743.0,743.0,0.10481927710843374,100,0.6961666580755264,st70,70,675,10.074074074074074,0.0,19.0,12.0,69.0,0.0,-0.07077520192353225
nearest_neighbor,153462.0,153462.0,153462.0,0.0,0,0.0002794561441987753,pr76,76,108159,41.88555737386625,,,,,,
nearest_neighbor_two_opt,153462.0,144735.0,144735.0,0.05686749814286273,7,0.012803765945136547,pr76,76,108159,33.81688070340887,,,,,,
random_operator,153462.0,138009.0,138009.0,0.10069593775657817,38,0.05567427701316774,pr76,76,108159,27.598258119990014,1.0,10.0,7.0,7.0,13.0,
fixed_schedule,153462.0,127753.0,127753.0,0.16752681445569587,37,0.06449284288100898,pr76,76,108159,18.11592192975157,0.0,13.0,12.0,12.0,0.0,
full_two_opt,153462.0,114283.0,114283.0,0.2553009865634489,20,0.4343405410181731,pr76,76,108159,5.662034597213362,,,,,,
multistart_two_opt_10,153462.0,111991.0,111991.0,0.27023627999113786,672,14.717172746080905,pr76,76,108159,3.5429321646834753,,,,,,
dqn_efficiency,153462.0,112836.0,112836.0,0.26473003088712516,29,0.22046782914549112,pr76,76,108159,4.324189387845672,1.0,25.0,0.0,3.0,0.0,0.4808790357489518
dqn_quality,153462.0,119735.0,119735.0,0.21977427636809113,100,0.7552906309720129,pr76,76,108159,10.702761674941522,0.0,43.0,52.0,5.0,0.0,0.07503580872320627
nearest_neighbor,1554.0,1554.0,1554.0,0.0,0,0.0004188409075140953,rat99,99,1211,28.32369942196532,,,,,,
nearest_neighbor_two_opt,1554.0,1457.0,1457.0,0.06241956241956242,8,0.01607338897883892,rat99,99,1211,20.31379025598679,,,,,,
random_operator,1554.0,1521.0,1521.0,0.021235521235521235,38,0.06453373096883297,rat99,99,1211,25.598678777869527,1.0,10.0,7.0,7.0,13.0,
fixed_schedule,1554.0,1417.0,1417.0,0.08815958815958816,22,0.048728084890171885,rat99,99,1211,17.010734929810074,0.0,8.0,7.0,7.0,0.0,
full_two_opt,1554.0,1315.0,1315.0,0.1537966537966538,18,0.7650795069057494,rat99,99,1211,8.587943848059455,,,,,,
multistart_two_opt_10,1554.0,1299.0,1299.0,0.1640926640926641,877,36.720229574944824,rat99,99,1211,7.26672171758877,,,,,,
dqn_efficiency,1554.0,1426.0,1426.0,0.08236808236808237,23,0.28406758699566126,rat99,99,1211,17.753922378199835,1.0,21.0,0.0,1.0,0.0,0.08780593110301672
dqn_quality,1554.0,1393.0,1393.0,0.1036036036036036,100,1.193533819168806,rat99,99,1211,15.028901734104046,0.0,13.0,52.0,35.0,0.0,-0.06500970609757707
nearest_neighbor,27807.0,27807.0,27807.0,0.0,0,0.00043267710134387016,kroA100,100,21282,30.659712433042007,,,,,,
nearest_neighbor_two_opt,27807.0,25477.0,25477.0,0.08379185097277664,14,0.02701629721559584,kroA100,100,21282,19.7114932807067,,,,,,
random_operator,27807.0,25342.0,25342.0,0.08864674362570575,38,0.06282643298618495,kroA100,100,21282,19.077154402781694,1.0,10.0,7.0,7.0,13.0,
fixed_schedule,27807.0,25512.0,25512.0,0.08253317509979502,33,0.0673421798273921,kroA100,100,21282,19.875951508316888,0.0,11.0,11.0,11.0,0.0,
full_two_opt,27807.0,21919.0,21919.0,0.21174524400330852,24,1.0297519338782877,kroA100,100,21282,2.9931397425054036,,,,,,
multistart_two_opt_10,27807.0,21919.0,21919.0,0.21174524400330852,960,40.93136925785802,kroA100,100,21282,2.9931397425054036,,,,,,
dqn_efficiency,27807.0,24047.0,24047.0,0.1352177509260258,19,0.2439963361248374,kroA100,100,21282,12.992199981204774,1.0,14.0,0.0,4.0,0.0,0.23463307375694473
dqn_quality,27807.0,22799.0,22799.0,0.18009853633977055,100,1.220038903877139,kroA100,100,21282,7.128089465275821,0.0,12.0,56.0,32.0,0.0,0.023268280339949703
nearest_neighbor,29158.0,29158.0,29158.0,0.0,0,0.00043480005115270615,kroB100,100,22141,31.692335486202065,,,,,,
nearest_neighbor_two_opt,29158.0,24808.0,24808.0,0.14918718704986625,12,0.023227486992254853,kroB100,100,22141,12.0455263989883,,,,,,
random_operator,29158.0,28868.0,28868.0,0.009945812469991083,38,0.06300291395746171,kroB100,100,22141,30.38254821372115,1.0,10.0,7.0,7.0,13.0,
fixed_schedule,29158.0,28333.0,28333.0,0.028294121681871183,8,0.01632407307624817,kroB100,100,22141,27.966216521385668,0.0,3.0,3.0,2.0,0.0,
full_two_opt,29158.0,22349.0,22349.0,0.23352081761437685,18,0.7556501911021769,kroB100,100,22141,0.9394336299173479,,,,,,
multistart_two_opt_10,29158.0,22349.0,22349.0,0.23352081761437685,932,39.08287788298912,kroB100,100,22141,0.9394336299173479,,,,,,
dqn_efficiency,29158.0,24878.0,24878.0,0.1467864736950408,29,0.35854163602925837,kroB100,100,22141,12.361681947518179,1.0,15.0,0.0,13.0,0.0,0.20799522085851174
dqn_quality,29158.0,23962.0,23962.0,0.17820152273818507,80,0.9793810369446874,kroB100,100,22141,8.224560769612935,1.0,16.0,12.0,51.0,0.0,0.24690545351871124
nearest_neighbor,803.0,803.0,803.0,0.0,0,0.0004455540329217911,eil101,101,629,27.662957074721778,,,,,,
nearest_neighbor_two_opt,803.0,797.0,797.0,0.007471980074719801,2,0.004333495860919356,eil101,101,629,26.70906200317965,,,,,,
random_operator,803.0,751.0,751.0,0.0647571606475716,38,0.06415078393183649,eil101,101,629,19.395866454689983,1.0,10.0,7.0,7.0,13.0,
fixed_schedule,803.0,683.0,683.0,0.149439601494396,47,0.09833440813235939,eil101,101,629,8.585055643879173,0.0,16.0,16.0,15.0,0.0,
